127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000252
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000214
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.001144
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000641
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001329
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.001773
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.001369
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 304, 0.000916
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000672
127.0.0.1, 2013-06-23 18:56:19, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 304, 0.000568
127.0.0.1, 2013-06-23 18:56:22, POST, /baystreet/default/schedule, HTTP/1.1, 303, 0.011216
127.0.0.1, 2013-06-23 18:56:22, GET, /baystreet/default/second, HTTP/1.1, 404, 0.008360
127.0.0.1, 2013-06-23 18:57:27, GET, /baystreet/default/second, HTTP/1.1, 404, 0.009087
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.037229
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000304
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.000220
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.000219
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000607
127.0.0.1, 2013-06-23 18:57:29, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000222
